Classifier,Validation Score,Mean Test Score,Mean Fit Time,Mean Score Time,Optimum Hyperparameters,classifier_temp
Random Forest,0.8370628211503398,0.8354264215598345,12.320395255088807,0.10396742820739746,{'classifier__max_depth': 15},random_forest
Ada Boost,0.8349080059671805,0.8338928887816752,3.7017192363739015,0.07919166088104249,{'classifier__learning_rate': 1},adaboost
Support Vector Machines,0.8335819658544671,0.8341002715391135,36.75933477878571,2.2497974634170532,"{'classifier__C': 1, 'classifier__gamma': 'scale', 'classifier__kernel': 'rbf'}",SVM
Logistic Regression,0.8286093154317918,0.8319036809322637,1.301278781890869,0.015905189514160156,{'classifier__solver': 'saga'},logistic_regression
