Feature,Weight
marital_status_Married-AF-spouse,1.31
marital_status_Married-civ-spouse,1.26
relationship_Wife,1.14
occupation_Exec-managerial,0.91
education_num,0.76
occupation_Prof-specialty,0.69
occupation_Tech-support,0.68
occupation_Protective-serv,0.63
workclass_Federal-gov,0.6
age,0.39
